timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,iris_center_x,iris_center_y,gaze_screen_x,gaze_screen_y,left_ear,right_ear,blink,head_yaw,head_pitch
1773344249.757864,256.4612617492676,129.46607494354248,333.401611328125,134.4195442199707,294.3766429000824,130.79675880478413,,,0.2887,0.3002,0,8.8,3.07
1773344249.926036,261.2317771911621,135.04131603240967,338.5606384277344,139.21492195129395,296.58446886382876,133.3293028796112,,,0.2568,0.3119,0,10.52,4.59
1773344250.053066,283.0778617858887,147.7285566329956,358.44200897216797,152.60931015014648,306.2546554699086,140.06515508439514,,,0.2925,0.3392,0,15.03,8.91
1773344250.153009,287.26667404174805,151.74471187591553,363.4996337890625,156.64572143554688,313.90605484810726,145.71717971292958,,,0.285,0.3383,0,20.25,4.54
1773344250.237754,282.6077537536621,149.32105922698975,359.43678283691406,154.39573860168457,316.7525402269796,148.17366739349262,,,0.2709,0.3214,0,19.98,8.23
1773344250.393541,277.8216133117676,149.93491744995117,355.34891510009766,155.13362789154053,316.68562981856076,149.9179095043939,,,0.3359,0.3331,0,15.34,14.23
1773344250.50096,279.6019706726074,151.98873138427734,356.985595703125,157.54999351501465,317.3288911662829,151.85849068249473,,,0.3275,0.3047,0,16.42,11.38
1773344250.577654,283.7202262878418,153.93517398834229,362.1070251464844,158.7081069946289,319.562784986635,153.6437506060911,,,0.2992,0.3213,0,21.11,6.68
1773344250.691257,284.343807220459,154.80763149261475,362.21614837646484,159.5211696624756,321.04966211136576,155.0520105946727,,,0.3155,0.3235,0,20.05,8.54
1773344250.861837,280.43019104003906,152.5338363647461,357.59957122802734,157.51034832000732,320.23574972043275,155.0400432937543,,,0.3232,0.3277,0,15.1,11.77
1773344251.019887,271.1939353942871,152.19450759887695,349.55579376220703,155.9000473022461,316.2913956635585,154.6429369564772,,,0.3294,0.348,0,11.24,9.19
1773344251.122611,263.02155685424805,150.47284698486328,341.64241790771484,154.7629108428955,310.70763235052766,153.83291373943808,,,0.3317,0.3145,0,9.16,6.84
1773344251.25961,259.2938041687012,150.1652956008911,338.60994720458984,152.63335132598877,306.0053296849748,152.85947762903882,,,0.3193,0.3332,0,9.1,6.35
1773344251.365024,260.9412956237793,148.79660511016846,340.9502944946289,152.051007270813,303.98151583466654,151.88520905361958,,,0.2819,0.3153,0,9.2,6.44
1773344251.457813,265.1833305358887,147.1871452331543,345.96241760253906,152.82208728790283,304.61805912848547,151.13297193638317,,,0.2923,0.3041,0,9.3,6.4
1773344251.582734,266.00982666015625,147.06104278564453,346.83467864990234,150.90959072113037,305.339736539103,150.27390986318488,,,0.2974,0.3043,0,6.5,5.98
1773344251.729461,266.06682205200195,145.16097450256348,347.20325469970703,148.30470085144043,305.8578572738036,148.8574809887117,,,0.2767,0.298,0,6.73,4.65
1773344251.80346,267.25786209106445,142.5882396697998,347.8851852416992,146.09994220733643,306.5433238308349,147.05212496865425,,,0.283,0.335,0,5.54,4.56
1773344251.980608,267.9439353942871,142.45874118804932,348.3246154785156,146.40841484069824,307.17970447306146,146.0047061869421,,,0.2795,0.3057,0,6.21,4.02
1773344252.100265,268.84926986694336,140.57566452026367,349.78128814697266,145.19628810882568,308.0339342866201,144.75721423798313,,,0.294,0.3251,0,5.91,3.71
1773344252.215724,267.5359573364258,139.79082870483398,347.0888671875,144.74468994140625,307.7453254767572,143.76143227203792,,,0.283,0.3107,0,6.01,4.17
1773344252.299404,265.8696060180664,139.0484104156494,345.2563781738281,143.3142385482788,306.8723921244332,142.72938915600838,,,0.2844,0.3023,0,6.78,2.94
1773344252.389359,264.34478759765625,138.78306198120117,343.79920959472656,142.86795043945312,305.75223471313643,141.9678359777359,,,0.2866,0.3153,0,6.09,2.55
1773344252.467772,263.6153450012207,138.89476776123047,342.45445251464844,143.06683731079102,304.66530033105573,141.57302260104584,,,0.2975,0.3156,0,6.16,3.97
1773344252.564733,261.03271484375,139.02795696258545,341.44146728515625,142.88843536376953,303.29401662441467,141.3270920258985,,,0.2852,0.3211,0,7.23,3.78
1773344252.648378,254.47902297973633,139.55834484100342,335.9590759277344,142.31156730651855,300.06402975614293,141.1702376450435,,,0.3036,0.3116,0,4.82,3.91
1773344252.737163,252.29365158081055,139.39888858795166,332.7744674682617,142.29462432861328,297.05204166350023,141.04084517033908,,,0.3112,0.3169,0,1.57,4.08
1773344252.825087,250.64756393432617,139.24393558502197,330.0222396850586,142.44368362426758,294.3651857219771,140.96203094406138,,,0.3318,0.3078,0,1.29,3.77
1773344252.918685,248.93474197387695,139.45428371429443,329.08531951904297,142.17282485961914,292.2231237317703,140.90264028121953,,,0.3272,0.3088,0,0.8,3.66
1773344253.002583,249.77258682250977,140.17969608306885,329.37657165527344,142.91150093078613,291.1637059346188,141.15982357150273,,,0.3275,0.311,0,-0.33,3.76
1773344253.135171,249.61397171020508,139.74505233764648,329.6606674194336,143.1587734222412,290.553151386699,141.27665929487918,,,0.3281,0.314,0,1.46,4.1
1773344253.255102,249.8648223876953,141.37226486206055,329.72740936279297,144.39909839630127,290.25033718211705,141.92026822859987,,,0.3297,0.3225,0,0.12,4.33
1773344253.404983,249.7321548461914,142.89425468444824,329.40679931640625,146.12188339233398,289.97799314178974,142.95538855251635,,,0.3377,0.3008,0,0.31,5.02
1773344253.540496,249.3311767578125,143.42443656921387,328.86997985839844,146.87857818603516,289.627027208316,143.83383608255963,,,0.3345,0.3255,0,-0.11,5.33
1773344253.627183,249.30362701416016,143.52812576293945,329.7161865234375,147.1649751663208,289.58017903250914,144.43892183538782,,,0.2988,0.3209,0,1.25,6.04
1773344253.737065,251.18260955810547,143.13122463226318,331.9586868286133,146.96970748901367,290.37636669684923,144.68353952548807,,,0.3261,0.2879,0,1.9,5.05
1773344253.843338,254.58327102661133,144.78809452056885,336.1487350463867,147.13632774353027,292.3722212327092,145.19500816811268,,,0.1998,0.2692,0,2.44,5.15
