timestamp,left_eye_x,left_eye_y,right_eye_x,right_eye_y,gaze_screen_x,gaze_screen_y,iris_center_x,iris_center_y,velocity,event
1769703799.040717,253.2447052001953,219.689576625824,321.2721252441406,222.93474197387692,68.15537118696018,3.5490723389845824,287.2727510961488,221.15597881774679,16.95818864768191,fixation
1769703799.104939,254.17311668396,218.6258053779602,321.83674812316895,222.19104766845703,68.24989913491679,3.6209386657266256,287.7339754536157,220.7607318923496,9.457974066981892,fixation
1769703799.123592,254.09666061401367,218.54169845581052,321.5965270996094,222.256121635437,68.10397374252426,3.7078656244062396,288.19668968770463,220.31330795417668,34.5069740386019,other
1769703799.1694,255.08363723754883,217.47478723526,322.7935314178467,221.7150950431824,67.88711797274114,3.9192725263569907,288.46271866587114,219.98613962328932,9.205273229929917,fixation
1769703799.185532,254.7114849090576,217.40499258041385,322.925329208374,221.8946528434753,67.87615842517184,4.111788579241745,288.81051955072206,219.59926376623383,32.24804203651548,other
1769703799.213174,254.80716705322263,217.2414779663086,322.7757263183594,221.3597059249878,67.82528031465732,4.262326311741503,288.9524442707268,219.2822140902967,12.566595485020294,fixation
1769703799.232542,254.6974277496338,217.33725786209104,323.0661678314209,221.23894214630127,67.97077040866527,4.4178509237539965,289.1801521767335,218.86417027188762,24.57863250262179,fixation
1769703799.277154,255.40971755981445,216.28741979599,323.17277908325195,220.76867580413816,67.97893627736401,4.526383971736467,289.3176129026127,218.43648867693543,10.06971294753566,fixation
1769703799.36199,255.7935905456543,215.7130551338196,323.37289810180664,220.4031801223755,68.077494038716,4.581189766189118,289.47636569787096,217.99515512194688,5.528523621219835,fixation
1769703799.371672,255.5105495452881,215.24182319641116,323.58208656311035,220.4393577575684,68.10140508763968,4.595857421736937,289.5980151034065,217.502754589013,52.38670630593715,other
1769703799.432338,255.40678024291992,214.44879055023196,323.8873767852783,218.8744425773621,68.04800470274535,4.648320737467658,289.6721875721529,216.94383073824145,9.29389029162557,fixation
1769703799.469879,255.40297508239743,214.39056873321533,323.8320064544678,219.04621124267575,67.92425447351829,4.671069455901987,289.7391874995183,216.44867699178755,13.309908482025572,fixation
1769703799.485629,256.16724967956543,213.60039710998532,323.6789321899414,218.19157361984253,67.89473782189869,4.721224288595234,289.7862708363614,216.06641369599683,24.45383207058799,fixation
1769703799.499857,256.144323348999,213.49856615066528,323.3801078796387,218.0183458328247,67.78964092720726,4.705911206983359,289.6779620183555,215.87148410810187,15.673363254086507,fixation
1769703799.515017,255.4193115234375,213.2399225234985,324.0429878234863,217.85823583602905,67.73808248873786,4.600274549889914,289.4815287697924,215.91064561546239,13.212254740296848,fixation
1769703799.579854,255.48479080200195,213.3629894256592,322.8071880340576,217.91520595550537,67.58097337058264,4.4778121844675995,289.2478768965793,216.0534033300662,4.2230825093143505,fixation
1769703799.60973,255.6569480895996,213.187894821167,322.8978729248047,218.00313234329224,67.39803731927003,4.34821987152102,288.98736837223265,216.34270507717684,13.030774040391854,fixation
1769703799.695166,254.85410690307617,215.2113962173462,322.0697212219238,219.25078868865967,67.30970192818657,4.28932575942167,288.6624300167048,216.7930416855889,6.499909168298684,fixation
1769703799.712089,254.67297554016116,215.27483224868772,322.3525047302246,219.5894694328308,67.31571600555871,4.1922342658582545,288.34988876705415,217.19964218894938,30.304473241700556,other
1769703799.785918,253.99970054626465,216.32004976272583,321.04000091552734,220.3190803527832,67.40216039424607,4.096671542430918,288.0115833670861,217.70789521312403,8.269796986540317,fixation
1769703799.79982,254.0465259552002,216.54596328735352,321.4040184020996,220.32660484313965,67.44938417149922,3.993699041427013,287.71679312503335,218.17281822597403,39.59905476260555,other
1769703799.83854,253.8865852355957,216.59120321273804,321.1456775665283,220.285542011261,67.63253155876646,3.8889417152059775,287.63826673171263,218.55848881238308,10.164836106151379,fixation
1769703799.885601,253.33568572998047,216.9898009300232,321.20954513549805,220.85361242294312,67.89792204982054,3.8042110317972657,287.4629817634702,218.8866066209883,7.904700484623549,fixation
1769703799.903992,252.9795837402344,217.06506729125977,321.160945892334,221.0332417488098,68.04323854058075,3.7397002720725148,287.1970528822695,219.14096477884095,20.009329660881566,fixation
1769703799.91774,253.08809280395508,217.035391330719,321.2386703491211,220.98470449447632,68.04656782193459,3.8328056745399928,287.1999879207023,219.30191379327164,11.708888236211049,fixation
1769703799.982372,252.6008415222168,217.79248237609863,320.9946155548096,221.3860273361206,68.04759527871009,3.7865574651174625,286.90944897319554,219.49397128955394,5.388667132107311,fixation
1769703800.00112,252.54314422607425,217.74941682815552,321.11207008361816,221.41201972961423,68.08787914638643,3.7523495277128815,286.43114701871036,219.63095375747284,26.537746222887463,fixation
1769703800.019751,252.47058868408203,217.73319482803345,321.31235122680664,221.4287567138672,68.09491937732302,3.725528421445151,285.9307268539721,219.76506780715135,27.80744715784452,fixation
1769703800.08587,250.78628540039065,218.31069946289065,317.887659072876,222.0304656028748,68.00890602353509,3.66937469033636,285.11409485933626,219.87510583411637,12.46257202134966,fixation
1769703800.105536,250.8244228363037,218.2681345939636,318.2879638671875,222.0936226844788,67.87858893968439,3.5618349869326966,284.0895597967103,219.94236676833333,52.20903117173182,other
1769703800.118017,250.8220672607422,218.2710099220276,318.07050704956055,222.17459678649905,67.95314142391192,3.515374543979716,283.0776668004876,220.0257725489098,81.34978431233938,other
1769703800.173675,246.43919944763184,218.4324860572815,314.7270965576172,221.20800018310547,67.9666432428148,3.444160802332004,281.8886514163141,220.0952071388395,21.39923912301213,fixation
1769703800.194554,246.23272895812988,218.35357904434204,314.4782829284668,221.60003900527957,68.1066708370575,3.328692110415516,280.79387024840776,220.15577444771418,52.5146656116519,other
1769703800.212844,246.1773777008057,218.19019317626956,314.554386138916,221.6330909729004,68.23835953759969,3.1888218379128754,279.6068184494448,220.22930479589212,65.02677440701213,other
1769703800.24477,243.15828323364255,218.71018409729004,311.0130214691162,221.821768283844,68.29694551148604,3.1183359871083427,278.5774282308741,220.2302065197711,32.242862023426134,other
1769703800.259029,243.13393592834475,218.86200428009036,311.96852684021,221.84489965438843,68.43731555679842,3.020539626816296,277.6499126442972,220.1991788326897,65.08474853548871,other
1769703800.277298,242.93560981750488,218.83442401885983,312.30201721191406,222.02869176864624,68.38319338285044,3.0011199998639997,276.78778512877193,220.27853273482467,47.390054681805985,other
1769703800.303928,241.67047500610352,219.1912579536438,309.5842266082764,221.68972492218015,68.42959943400287,2.962126069478876,276.14807499156433,220.33043639045076,24.101168950161693,fixation
1769703800.321417,241.3415241241455,219.1766667366028,310.1563358306885,221.7365384101868,68.35257798622135,2.889494658595313,275.51173973946703,220.34581353761615,36.39510139669727,other
1769703800.363237,240.2417278289795,218.5334086418152,307.7175712585449,221.5291929244995,68.33363444988582,2.7847430867846894,274.78969404384713,220.30768344521104,17.28969535371672,fixation
1769703800.37853,240.35399436950684,218.42568397521973,307.7083110809326,221.4385271072388,68.16347018625979,2.582761184122782,273.70542805874663,220.19909979854896,71.25356838878649,other
1769703800.427534,238.5189437866211,219.1684985160828,306.78600311279297,221.45184516906735,67.98992919921913,2.454596903529117,272.80913122531126,220.0859582025014,18.435397826190883,fixation
1769703800.445223,238.52020263671875,219.19337511062625,306.7821407318115,221.58805131912231,67.7120233337268,2.099731850947742,271.2020266045287,219.93103874862587,91.27452972933496,other
